FDHI ID,Earthquake,Date,Magnitude,Style,Hypocenter lat,Hypocenter lon,Feature,Breached or unbreached,Type (releasing or restraining),Type (single or double),Distance splay or double bend (m),Length (m) or angle (deg),Spacing double bend (m),Type (length or angle),Location along rupture,Total rupture length,Normalized location,Distance to epicenter,Slip at gate (m),Normalized slip at gate,UTM zone,Cumulative displacement
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,2.88214494418828,0,angle,278129.997982379,278702.916265388,0.997944340551991,15009.7160475958,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,38.693594870504,0,angle,261339.998082418,278702.916265388,0.937700981332983,31809.802216636,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,41.065054799369,0,angle,257999.998102417,278702.916265388,0.925716894389233,35186.878069467,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,21.9506713433744,0,angle,256599.998118687,278702.916265388,0.92069362444111,36551.733168597,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,7.79703262689629,0,angle,252129.998142658,278702.916265388,0.904655041006366,41016.6470688472,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,releasing,double,1284.27294365803,19.1319171016945,319.575206824815,angle,246119.998181955,278702.916265388,0.883090860619464,47020.3078651198,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,12.9692934899718,0,angle,241449.998212576,278702.916265388,0.866334667207651,51690.313014681,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,releasing,double,950.136731793287,11.3077763075238,126.265340245988,angle,227009.998435796,278702.916265388,0.81452322594153,66041.2132521484,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,5.63754545407511,0,angle,220719.998565483,278702.916265388,0.791954391877651,72295.0734548711,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,13.3620075522693,0,angle,217499.998610423,278702.916265388,0.780400871023947,75483.9191533467,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,18.5425997972047,0,angle,214799.998647063,278702.916265388,0.770713136142878,78160.2410581034,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,restraining,double,652.812776979212,30.4194186942957,314.998074042768,angle,202609.998705913,278702.916265388,0.726974806797441,89783.4413974927,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,5.72253101616906,0,angle,195199.998757975,278702.916265388,0.700387356449836,97000.46168687,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,3.22983721003162,0,angle,190809.998787262,278702.916265388,0.684635817034538,101215.071810294,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,4.31731161837838,0,angle,188329.998810049,278702.916265388,0.675737453104783,103775.359025969,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,restraining,double,2075.70907856964,27.220528624517,1088.87736292939,angle,174819.998902193,278702.916265388,0.627262897872678,117229.934808153,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,24.0669092204958,0,angle,170449.998922467,278702.916265388,0.611583119425133,121606.172273476,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,0.208776601587201,0,angle,167879.998936798,278702.916265388,0.602361830964621,124157.453382727,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,10.5908966659706,0,angle,165309.998949495,278702.916265388,0.593140542498244,126709.880561793,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,5.59465812424556,0,angle,162809.99896058,278702.916265388,0.58417041752641,129209.346131166,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,5.43863548648169,0,angle,158539.998994021,278702.916265388,0.568849444126573,133462.967682002,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,3.4444816878419,0,angle,151779.999064726,278702.916265388,0.544594226348884,140103.146927949,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,3.65423035478647,0,angle,145119.999127563,278702.916265388,0.520697813543423,146689.869769334,5.3,0.602272727272727,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,2.9371789849137,0,angle,137749.999161557,278702.916265388,0.494253885131177,153965.751155574,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,2.98018281512399,0,angle,130739.999198934,278702.916265388,0.469101654732741,160857.857764986,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,restraining,double,172.591210634864,37.4067298663338,108.605732354941,angle,123579.999245455,278702.916265388,0.443411216866419,167960.804780609,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,releasing,double,716.250273732192,19.2223285546921,256.250171826153,angle,121799.999253927,278702.916265388,0.437024487888554,169742.703991983,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,7.90359219435988,0,angle,117769.999275092,278702.916265388,0.422564646445783,173688.079913276,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,restraining,double,573.747795992039,14.6319475302451,138.97998871714,angle,109769.999308159,278702.916265388,0.393860246527287,181622.944908465,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,9.2830935060207,0,angle,105589.999331272,278702.916265388,0.378862197590809,185751.717164955,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,0.888741390308836,0,angle,100279.999365612,278702.916265388,0.35980965218937,190981.558266253,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,7.30674205613256,0,angle,101769.999353563,278702.916265388,0.365155846653055,189506.898013473,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,9.66484128303882,0,angle,94749.9994455433,278702.916265388,0.339967735950492,196351.447616971,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,10.1011524711709,0,angle,76009.9997236755,278702.916265388,0.272727679861437,215239.72045469,5.3,0.602272727272727,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,releasing,double,1397.30206429072,21.9580533579393,486.34240363847,angle,65789.9997983873,278702.916265388,0.236057809082057,224433.227406302,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,releasing,double,2295.98795566664,26.2482521592092,1258.64348294395,angle,62359.9998152585,278702.916265388,0.223750797626666,227274.296496321,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,0.833130966486831,0,angle,50309.9998544727,278702.916265388,0.180514795211423,237216.207641698,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,6.73227077434906,0,angle,41029.9998867791,278702.916265388,0.147217691284254,246070.080314794,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,releasing,double,1200.10422866994,12.1115558094242,297.254069386609,angle,36239.9998992884,278702.916265388,0.130030931806899,250692.639103461,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,1.78888724971462,0,angle,31919.9999217255,278702.916265388,0.114530555867347,254740.498030308,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,7.48553873627607,0,angle,25979.9999391477,278702.916265388,0.0932175389022802,260273.426740321,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,5.84306580006474,0,angle,22259.9999441602,278702.916265388,0.079869992902994,263861.123781287,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,11.0489010265457,0,angle,8679.99997878404,278702.916265388,0.031144273964176,275380.76787736,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,7.33604997751169,0,angle,5769.99998403117,278702.916265388,0.0207030484694923,278132.883863365,NaN,NaN,6N,370
10,Denali,'2002-11-03',7.9,Strike-Slip,63.542,-147.4444,bend,breached,NaN,single,0,0.572955486889918,0,angle,3439.99999455265,278702.916265388,0.012342891996426,280209.725919315,NaN,NaN,6N,370
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,8.47272547073605,0,angle,19439.9896728733,40018.847231306,0.485770855929747,7781.58831795112,3.8,0.745241242434821,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,releasing,double,1033.05117277099,21.2309195498811,394.405863262929,angle,36599.9872470359,40018.847231306,0.914568753954622,21557.2827937004,1.5,0.294174174645324,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,releasing,double,1029.06938680374,15.3964716458204,255.94235172686,angle,32609.9875020799,40018.847231306,0.814865738475587,17662.5956292895,NaN,NaN,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,17.1804407896199,0,angle,30029.9881912436,40018.847231306,0.75039613254406,15204.3890378488,2.9,0.568736737647626,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,restraining,double,950.578972355293,18.5236924375278,279.267127274519,angle,2379.99974840641,40018.847231306,0.0594719716600078,15950.1629471165,0.45,0.0882522523935972,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,25.0153223316742,0,angle,36919.9872295998,40018.847231306,0.922564985847917,21866.3886462405,NaN,NaN,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,30.8265889869217,0,angle,7379.99523261266,40018.847231306,0.184412988958848,12036.100897645,4.5,0.882522523935972,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,11.8875472889304,0,angle,4189.99734048661,40018.847231306,0.10470060060123,14217.4342665815,0.4,0.0784464465720864,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,releasing,double,523.402432080627,17.7874354759279,187.454472645651,angle,6369.99530612359,40018.847231306,0.159174882507372,12429.6066857955,4.825971,0.946450690524846,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,13.4228088736272,0,angle,12479.991146352,40018.847231306,0.311852839593768,8859.59248304605,4.118252,0.80765558872097,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,releasing,double,337.307829274202,11.2496572946983,76.8740380715905,angle,22699.9885576987,40018.847231306,0.567232444915126,9163.36729914307,NaN,NaN,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,10.4379136826468,0,angle,37519.9871826039,40018.847231306,0.937557920290434,22440.7608139855,NaN,NaN,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,3.83236913172817,0,angle,38129.9871597497,40018.847231306,0.952800737596491,23064.2205949868,NaN,NaN,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,restraining,double,587.394358059319,5.43533283835331,53.8964738182803,angle,26389.9883599881,40018.847231306,0.65943899401839,12141.8324629786,NaN,NaN,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,9.87392107574598,0,angle,19819.9896660845,40018.847231306,0.495266381650786,7638.89701868912,2.5,0.49029029107554,36N,85
11,Duzce,'1999-11-12',7.14,Strike-Slip,40.8345,31.1346,bend,breached,NaN,single,0,16.3749178884492,0,angle,19409.9896728732,40018.847231306,0.485021209148902,7785.10594495013,3.7,0.725629630791799,36N,85
